distance,myBulletPower,opponentAdvancingVelocity,opponentBackwardWall,opponentCurrentGuessFactor,opponentForwardWall,opponentLateralVelocity,opponentTimeSinceLastDeceleration,type,guessFactor
513.99,1.99,0.84,0.44,0.62,0.88,2.36,2.00,BULLETHITBULLET,0.19
519.81,1.99,3.38,0.34,-0.07,0.92,7.25,10.00,MISS,0.16
554.77,1.99,0.00,0.62,0.26,0.84,-0.00,0.00,MISS,-0.37
580.72,1.23,1.88,0.80,0.20,0.69,3.81,1.00,MISS,-0.21
562.52,0.75,0.44,0.46,-0.36,0.87,1.43,1.00,MISS,0.44
580.24,0.28,3.82,0.53,0.07,0.93,7.03,9.00,MISS,0.25
613.14,0.10,0.00,0.75,0.44,0.84,0.00,1.00,MISS,-0.00
605.73,0.10,0.00,0.74,0.25,0.84,0.00,12.00,HIT,-0.00
216.41,1.99,-0.00,0.70,0.00,0.69,-0.00,25.00,MISS,-1.00
273.14,1.99,2.49,0.48,0.80,0.89,7.60,53.00,BULLETHITBULLET,0.76
249.07,1.99,0.39,0.42,-0.79,0.88,7.99,39.00,HIT,0.96
369.17,1.99,5.71,0.61,0.00,0.88,5.61,67.00,MISS,-0.40
395.91,1.99,0.31,0.79,0.09,0.88,2.61,2.00,MISS,-0.11
476.07,1.99,4.17,0.69,0.07,0.86,6.83,12.00,BULLETHITBULLET,0.78
486.65,1.99,-0.00,0.81,0.11,0.83,-0.00,0.00,MISS,-0.90
502.15,1.99,1.73,0.68,-0.30,0.74,7.81,12.00,MISS,0.68
552.91,1.99,1.17,0.71,-0.75,0.54,7.91,26.00,MISS,0.26
572.45,1.99,-0.33,0.47,0.79,0.88,1.97,2.00,MISS,-0.32
585.63,1.99,-3.54,0.79,0.18,0.46,3.53,5.00,MISS,-0.17
513.74,1.99,-7.49,0.72,0.44,0.26,2.80,19.00,MISS,-0.98
523.83,1.99,3.45,0.25,0.13,0.91,7.22,10.00,MISS,0.55
576.89,1.11,1.01,0.65,-0.71,0.94,7.94,10.00,MISS,0.17
588.80,1.04,-0.35,0.81,0.69,0.86,2.98,0.00,MISS,-0.56
611.46,0.10,0.00,0.81,0.13,0.86,0.00,0.00,MISS,-0.47
634.46,0.10,1.22,0.80,-0.23,0.86,4.33,4.00,MISS,0.74
681.37,0.10,0.30,0.83,-0.41,0.70,1.98,0.00,MISS,0.48
712.08,0.10,1.73,0.72,0.54,0.70,7.81,7.00,MISS,0.23
723.35,0.10,-2.03,0.76,0.50,0.71,5.65,4.00,MISS,-0.32
710.18,0.10,-0.53,0.87,0.28,0.61,0.92,1.00,MISS,-0.66
690.67,0.10,0.93,0.50,-0.08,0.94,3.34,3.00,MISS,0.38
700.54,0.10,1.45,0.57,-0.31,0.94,4.78,3.00,MISS,0.27
724.49,0.10,1.27,0.67,-0.63,0.94,7.90,14.00,MISS,-0.29
733.76,0.10,1.68,0.76,0.47,0.78,6.79,7.00,MISS,0.33
736.26,0.10,1.14,0.67,0.24,0.93,6.91,7.00,MISS,-0.72
697.50,0.10,-1.09,0.84,0.60,0.44,1.67,1.00,BULLETHITBULLET,-0.28
741.85,0.10,0.52,0.72,-0.26,0.65,7.98,9.00,MISS,0.50
737.82,0.10,-2.03,0.74,-0.39,0.55,7.22,7.00,MISS,-0.16
714.01,0.10,-0.02,0.44,0.23,0.96,7.00,5.00,MISS,0.42
723.47,0.10,-0.63,0.70,0.26,0.90,1.90,0.00,MISS,-0.14
731.21,0.10,-0.87,0.74,0.34,0.93,3.90,0.00,MISS,-0.58
696.21,0.10,-0.24,0.76,0.41,0.85,0.97,1.00,HIT,-0.58
670.30,0.10,3.86,0.63,-0.03,0.87,7.00,10.00,MISS,0.18
663.79,0.10,-0.28,0.63,-0.52,0.85,7.99,22.00,MISS,-0.67
636.83,0.10,0.26,0.77,0.47,0.86,3.99,4.00,MISS,0.81
633.68,0.10,0.47,0.63,-0.25,0.85,7.99,4.00,MISS,0.75
607.50,0.10,-0.66,0.80,0.67,0.80,2.93,1.00,MISS,0.88
576.19,0.19,-1.46,0.75,0.66,0.89,4.78,2.00,MISS,1.00
554.81,0.19,-2.30,0.65,0.76,0.90,7.66,14.00,MISS,0.56
531.20,0.18,-0.30,0.64,0.92,0.96,7.99,27.00,BULLETHITBULLET,0.36
533.89,0.18,0.30,0.79,0.06,0.91,2.99,2.00,MISS,-0.95
550.69,0.17,1.78,0.65,-0.17,0.94,7.80,8.00,HIT,0.98
601.35,0.10,3.87,0.60,-0.65,0.92,7.00,19.00,MISS,0.63
666.66,0.10,3.34,0.52,0.77,0.90,7.27,31.00,MISS,0.21
669.90,0.10,-1.53,0.85,-0.07,0.51,1.65,1.00,BULLETHITBULLET,-0.28
696.19,0.10,0.22,0.57,0.26,0.90,1.48,1.00,MISS,-0.68
592.11,0.25,-6.87,0.69,-0.42,0.41,4.10,12.00,MISS,-0.32
547.77,0.35,0.54,0.34,0.24,0.87,1.93,2.00,MISS,0.54
571.46,0.72,-1.13,0.83,0.27,0.54,1.65,2.00,BULLETHITBULLET,0.89
555.13,0.50,1.95,0.33,-0.15,0.94,7.76,10.00,MISS,0.16
552.96,0.83,-0.17,0.84,0.16,0.43,0.47,0.00,HIT,-0.98
569.70,0.75,0.56,0.61,-0.39,0.96,7.98,15.00,MISS,0.86
571.02,0.69,-0.74,0.67,-0.80,0.89,7.97,27.00,MISS,0.63
561.95,0.85,-0.98,0.78,0.72,0.68,4.90,5.00,MISS,-0.24
544.48,0.77,-1.26,0.80,0.63,0.51,1.56,2.00,HIT,-1.00
299.73,1.99,-0.00,0.77,0.00,0.77,0.00,24.00,HIT,0.89
331.92,1.99,2.21,0.55,0.52,0.90,7.69,38.00,MISS,0.09
387.40,1.99,0.76,0.54,-0.10,0.92,7.96,11.00,MISS,-0.44
460.22,1.99,0.88,0.66,-0.38,0.91,7.95,13.00,MISS,-0.35
492.02,1.99,0.09,0.73,0.05,0.84,7.00,7.00,MISS,-0.34
510.19,1.99,0.49,0.68,0.28,0.92,4.98,5.00,MISS,0.79
535.74,1.99,1.33,0.68,-0.16,0.83,7.89,19.00,MISS,0.18
602.67,1.99,-0.58,0.68,0.77,0.88,1.91,2.00,MISS,0.26
635.14,1.99,-0.24,0.77,0.11,0.71,2.14,2.00,MISS,0.37
636.23,1.99,-2.20,0.75,-0.25,0.51,7.69,16.00,MISS,-0.31
578.29,1.99,0.97,0.22,0.62,0.89,1.75,2.00,HIT,0.19
604.94,1.99,1.52,0.46,-0.04,0.92,3.97,4.00,MISS,-0.62
637.19,1.99,-0.25,0.74,0.30,0.57,8.00,9.00,MISS,0.92
636.04,1.99,-2.79,0.75,-0.44,0.40,7.50,23.00,MISS,0.44
570.48,1.99,-6.74,0.73,0.84,0.42,4.31,38.00,HIT,-0.34
534.54,1.99,0.16,0.39,0.61,0.93,5.00,5.00,MISS,0.70
546.03,1.99,1.11,0.41,-0.07,0.93,4.62,5.00,MISS,0.96
572.99,1.99,1.76,0.52,0.41,0.92,7.80,6.00,MISS,0.57
616.25,1.99,2.31,0.66,0.65,0.85,7.66,5.00,HIT,-0.33
636.63,1.99,-0.21,0.71,0.15,0.82,8.00,11.00,BULLETHITBULLET,-0.36
662.75,1.99,-0.00,0.84,0.68,0.75,-0.00,0.00,MISS,-0.92
660.17,1.99,0.82,0.74,-0.25,0.58,7.96,26.00,MISS,0.95
690.07,1.99,-1.37,0.76,-0.88,0.48,7.88,41.00,MISS,0.28
415.42,1.99,0.00,0.80,0.00,0.81,-0.00,23.00,HIT,0.94
441.07,1.99,2.41,0.66,0.44,0.88,7.63,39.00,MISS,0.14
486.29,1.99,-0.20,0.80,0.46,0.76,1.99,0.00,MISS,-0.57
503.57,1.99,0.02,0.79,-0.53,0.85,1.00,0.00,BULLETHITBULLET,-0.96
466.25,1.99,1.50,0.66,0.17,0.92,4.77,1.00,MISS,-0.06
537.63,1.99,3.69,0.71,0.07,0.83,7.10,9.00,MISS,0.17
517.17,1.99,0.00,0.83,0.28,0.69,-0.00,0.00,MISS,-0.47
462.76,1.99,1.01,0.55,0.32,0.88,1.73,2.00,MISS,0.99
488.77,1.99,3.84,0.55,-0.25,0.91,7.02,7.00,HIT,0.52
523.63,1.99,0.46,0.82,0.67,0.88,1.95,2.00,BULLETHITBULLET,-0.28
521.90,1.99,1.87,0.68,0.69,0.93,7.78,21.00,MISS,0.26
577.52,1.99,2.56,0.63,-0.03,0.93,7.58,9.00,BULLETHITBULLET,0.79
543.02,1.99,0.06,0.84,-0.45,0.83,1.00,1.00,MISS,0.79
532.69,1.99,1.09,0.72,0.24,0.80,7.93,12.00,MISS,0.96
563.26,1.99,-0.83,0.70,0.87,0.84,7.96,41.00,BULLETHITBULLET,0.50
557.60,1.99,-1.55,0.68,0.65,0.85,7.85,27.00,HIT,0.16
587.57,1.71,-1.78,0.72,0.30,0.76,7.80,11.00,MISS,-0.70
598.71,1.99,1.49,0.62,0.06,0.86,7.86,8.00,MISS,0.72
628.88,1.71,0.10,0.74,-0.39,0.71,8.00,22.00,MISS,0.21
587.50,1.71,3.18,0.46,0.34,0.92,7.34,8.00,BULLETHITBULLET,0.52
637.34,1.71,-0.35,0.69,-0.47,0.84,3.98,3.00,MISS,-0.75
681.29,1.71,2.53,0.74,-0.21,0.69,7.59,11.00,MISS,0.28
731.20,1.71,2.74,0.71,-0.49,0.67,7.52,11.00,MISS,-0.22
730.99,1.99,-1.79,0.63,0.44,0.84,4.67,5.00,MISS,0.31
727.65,1.99,-1.03,0.55,-0.12,0.86,7.93,9.00,MISS,0.67
725.28,1.99,0.23,0.53,0.26,0.84,2.24,2.00,MISS,0.80
759.10,1.99,2.53,0.62,0.29,0.79,7.59,16.00,HIT,0.70
351.40,1.99,0.00,0.77,0.00,0.68,0.00,25.00,MISS,0.39
370.23,1.99,-1.04,0.63,0.10,0.77,7.43,7.00,MISS,-0.60
389.05,1.99,0.66,0.57,-0.00,0.91,7.97,9.00,MISS,1.00
434.97,1.99,2.84,0.61,0.51,0.92,7.48,23.00,BULLETHITBULLE
